close_date,ApproveAfterChange,DirectlyApprove,Rejected,TotalReview,DirectlyApproveRate,ApproveAfterChangeRate,CloseToReleaseDate
2009-10-01,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-10-02,0.0,1.0,1.0,2.0,0.5,0.0,True
2009-10-05,5.0,2.0,0.0,7.0,0.2857142857142857,0.7142857142857143,True
2009-10-06,0.0,5.0,0.0,5.0,1.0,0.0,True
2009-10-07,0.0,0.0,1.0,1.0,0.0,0.0,False
2009-10-08,1.0,2.0,1.0,4.0,0.5,0.25,True
2009-10-09,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-10-10,0.0,0.0,2.0,2.0,0.0,0.0,False
2009-10-16,0.0,3.0,0.0,3.0,1.0,0.0,True
2009-10-18,0.0,0.0,4.0,4.0,0.0,0.0,True
2009-10-20,0.0,0.0,1.0,1.0,0.0,0.0,True
2009-10-31,1.0,5.0,1.0,7.0,0.7142857142857143,0.14285714285714285,False
2009-11-01,0.0,1.0,12.0,13.0,0.07692307692307693,0.0,False
2009-11-03,8.0,2.0,0.0,10.0,0.2,0.8,True
2009-11-04,1.0,3.0,0.0,4.0,0.75,0.25,True
2009-11-16,0.0,0.0,1.0,1.0,0.0,0.0,True
2009-11-17,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-12-01,0.0,1.0,1.0,2.0,0.5,0.0,True
2009-12-07,0.0,0.0,2.0,2.0,0.0,0.0,True
2009-12-11,0.0,0.0,3.0,3.0,0.0,0.0,False
2009-12-12,1.0,0.0,0.0,1.0,0.0,1.0,False
2009-12-18,1.0,0.0,0.0,1.0,0.0,1.0,False
2009-12-21,0.0,1.0,0.0,1.0,1.0,0.0,True
2009-12-22,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,False
2009-12-28,1.0,0.0,3.0,4.0,0.0,0.25,False
2009-12-29,3.0,2.0,1.0,6.0,0.3333333333333333,0.5,False
2010-01-04,2.0,0.0,0.0,2.0,0.0,1.0,True
2010-01-06,1.0,3.0,0.0,4.0,0.75,0.25,True
2010-01-07,1.0,2.0,0.0,3.0,0.6666666666666666,0.3333333333333333,True
2010-01-10,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-12,16.0,3.0,0.0,19.0,0.15789473684210525,0.8421052631578947,True
2010-01-15,1.0,2.0,1.0,4.0,0.5,0.25,True
2010-01-16,0.0,1.0,0.0,1.0,1.0,0.0,False
2010-01-17,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-01-18,0.0,0.0,3.0,3.0,0.0,0.0,True
2010-01-20,0.0,0.0,2.0,2.0,0.0,0.0,True
2010-01-22,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-01-23,6.0,5.0,2.0,13.0,0.38461538461538464,0.4615384615384616,False
2010-01-24,0.0,0.0,4.0,4.0,0.0,0.0,True
2010-01-25,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-01-27,0.0,2.0,0.0,2.0,1.0,0.0,True
2010-01-29,1.0,3.0,0.0,4.0,0.75,0.25,False
2010-02-01,0.0,1.0,0.0,1.0,1.0,0.0,False
2010-02-02,0.0,1.0,0.0,1.0,1.0,0.0,False
2010-02-03,0.0,9.0,0.0,9.0,1.0,0.0,True
2010-02-04,2.0,1.0,0.0,3.0,0.3333333333333333,0.6666666666666666,True
2010-02-05,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-02-08,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-02-09,0.0,0.0,1.0,1.0,0.0,0.0,True
2010-02-10,1.0,4.0,0.0,5.0,0.8,0.2,True
2010-02-11,1.0,0.0,0.0,1.0,0.0,1.0,True
2010-02-12,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-02-17,0.0,1.0,0.0,1.0,1.0,0.0,True
2010-03-10,2.0,3.0,10.0,15.0,0.2,0.13333333333333333,True
